GEOID,year,total_crashes,persons_injured,persons_killed,pedestrians_injured,pedestrians_killed,cyclists_injured,cyclists_killed,motorists_injured,motorists_killed,total_population,crash_rate_per_1000,injury_rate_per_1000,fatality_rate_per_1000
36061001800,2023,215,117,0,28,0,28,0,51,0,88011.07,2.44287451567172,1.3293782248074,0
36061002000,2018,60,11,0,0,0,0,0,11,0,53183.37,1.12817220871863,0.206831571598415,0
36061002000,2019,69,24,0,2,0,1,0,21,0,53663.34,1.28579398896901,0.447232691815306,0
36061002000,2020,26,9,0,0,0,1,0,8,0,53776.35,0.483483910678207,0.167359815234764,0
36061002000,2021,37,22,0,1,0,1,0,20,0,57588.56,0.642488716508973,0.382020317924254,0
36061002000,2022,32,20,0,0,0,0,0,20,0,54691.32,0.58510198693321,0.365688741833256,0
36061002000,2023,50,20,0,1,0,0,0,18,0,54987.37,0.909299717371462,0.363719886948585,0
36061002100,2018,303,58,0,31,0,12,0,15,0,84937.4,3.56733311827299,0.682855844421892,0
36061002100,2019,210,44,0,16,0,4,0,24,0,87190.51,2.40851900051967,0.504642076299359,0
36061002100,2020,77,16,0,1,0,8,0,7,0,89749.35,0.857944932191709,0.178274271624251,0
36061002100,2021,80,32,0,8,0,10,0,10,0,95860.38,0.834547077739521,0.333818831095808,0
36061002100,2022,83,26,0,12,0,5,0,8,0,96096.31,0.863716827420325,0.270561897746126,0
36061002100,2023,89,29,0,5,0,11,0,9,0,105057.35,0.847156338894899,0.276039705932046,0
36061002201,2018,96,27,0,5,0,6,0,16,0,81821.08,1.17329177273143,0.329988311080714,0
36061002201,2019,69,21,0,2,0,4,0,15,0,83971.11,0.821711181381311,0.250086011724747,0
36061002201,2020,51,22,0,4,0,8,0,10,0,79966.1,0.637770255145618,0.275116580651051,0
36061002201,2021,55,29,0,5,0,6,0,17,0,82318.2,0.668139002067587,0.352291473817455,0
36061002201,2022,47,22,0,3,0,7,0,8,0,84246.2,0.557888664414537,0.261139374832337,0
36061002201,2023,58,29,0,6,0,4,0,16,0,80226.11,0.722956653388778,0.361478326694389,0
36061002202,2018,25,4,0,2,0,2,0,0,0,27976.58,0.893604579258794,0.142976732681407,0
36061002202,2019,34,6,0,3,0,2,0,1,0,30061.75,1.13100534732675,0.199589178940015,0
36061002202,2020,12,3,0,0,0,1,0,2,0,30419.93,0.394478225295062,0.0986195563237654,0
36061002202,2021,15,3,0,0,0,2,0,1,0,32981.33,0.454802762653901,0.0909605525307803,0
36061002202,2022,8,3,0,2,0,1,0,0,0,34653.28,0.230858377619665,0.0865718916073745,0
36061002202,2023,14,8,0,0,0,3,0,5,0,33213.25,0.421518520469993,0.240867725982853,0
36061002400,2018,46,21,0,1,0,2,0,18,0,48486.26,0.948722380319703,0.433112391015517,0
36061002400,2019,38,22,0,0,0,0,0,22,0,48609.27,0.781743893705871,0.452588570040241,0
36061002400,2020,19,7,0,1,0,1,0,5,0,47338.31,0.401366250717442,0.14787177658011,0
